page_id,page_title,view_count,protection_level,protection_expiry,page_length,page_id_scrapped,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories
13139383,Penny Flanagan,81574,unprotected,,5126,13139383,25,14,0,1927,101,0,0,14
17622204,Margaret of Lorraine,40099,unprotected,,6320,17622204,25,14,2,513,106,0,0,14
10455027,David Healy (actor),66367,unprotected,,7347,10455027,25,14,0,960,108,0,0,14
7343761,Jeff Cheeger,41037,unprotected,,9991,7343761,25,14,0,420,124,0,0,14
3244128,Greta Keller,71196,unprotected,,6034,3244128,25,14,1,508,144,0,0,14
5437616,Thomas University,86646,unprotected,,7724,5437616,25,14,5,465,144,0,0,14
876913,Congress for Democracy and Progress,79914,unprotected,,9942,876913,25,14,3,1379,150,0,0,14
1383794,Viersen,85652,unprotected,,5758,1383794,25,14,2,1173,153,0,0,14
6552295,Malcesine,119892,unprotected,,17185,6552295,25,14,2,1432,153,0,0,14
9810390,Philomath High School,19247,unprotected,,5414,9810390,25,14,0,109,166,0,0,14
30709568,Garnet Valley High School,38439,unprotected,,7068,30709568,25,14,0,239,180,0,0,14
1138768,Rolf Gindorf,18962,unprotected,,2769,1138768,25,14,0,158,197,0,0,14
39804619,TowerFall,359681,unprotected,,37926,39804619,25,14,2,3997,220,0,0,14
2107573,Eric Christmas,205576,unprotected,,7630,2107573,25,14,2,2980,225,0,0,14
897570,Quba District (Azerbaijan),51204,unprotected,,12778,897570,25,14,2,499,263,0,0,14
39471780,The Mowgli's,266300,unprotected,,29149,39471780,25,14,8,1933,283,0,0,14
19743810,DJ Arafat,411128,unprotected,,12606,19743810,25,14,3,3736,303,0,0,14
3235466,Wadie Haddad,363012,unprotected,,7292,3235466,66,5,7,4060,336,0,0,14
1293194,Allister,140444,unprotected,,16628,1293194,25,14,4,1427,407,0,0,14
434977,John Wilkinson (industrialist),155033,unprotected,,19263,434977,30,4,4,1306,469,0,0,14
599917,Mental image,725486,unprotected,,54860,599917,255,54,8,7041,469,0,0,14
121347,"Crookston, Minnesota",131335,unprotected,,20853,121347,25,14,3,1051,495,0,0,14
