page_id,page_title,view_count,protection_level,protection_expiry,page_length,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories,protection_expiry,protection_expiry_date,protection_expiry_time,protection_duration_days,timestamp,protection_expiry_flag
66030911,1849 in Germany,544,autoconfirmed,,14329,Fewer than 30 watchers,,0,38172,761,34,14,5, 2021-08-19T11:34:18Z, 2021-08-19,11:34:18Z,-1, 2021-08-20,0
66033556,1847 in Germany,604,autoconfirmed,,11689,Fewer than 30 watchers,,4,1267,289,12,9,20, 2021-08-19T11:22:54Z, 2021-08-19,11:22:54Z,-1, 2021-08-20,0
66045450,1846 in Germany,680,autoconfirmed,,26003,47,6,4,17126,814,9,6,27, 2021-08-19T11:00:13Z, 2021-08-19,11:00:13Z,-1, 2021-08-20,0
66048934,1845 in Germany,616,autoconfirmed,,45971,36,7,7,24665,927,6,4,5, 2021-08-19T10:03:58Z, 2021-08-19,10:03:58Z,-1, 2021-08-20,0
66057139,1843 in Germany,626,autoconfirmed,,31589,39,3,3,12329,815,0,0,9, 2021-08-19T06:57:59Z, 2021-08-19,06:57:59Z,-1, 2021-08-20,0
66058679,1842 in Germany,618,autoconfirmed,,46972,199,27,19,25743,3975,9,8,11, 2021-08-19T03:24:09Z, 2021-08-19,03:24:09Z,-1, 2021-08-20,0
66063078,1841 in Germany,541,autoconfirmed,,11984,60,10,4,11616,412,0,0,7, 2021-08-19T03:05:52Z, 2021-08-19,03:05:52Z,-1, 2021-08-20,0
66066251,1840 in Germany,870,autoconfirmed,,6185,33,6,5,7180,318,0,0,7, 2021-08-19T03:05:37Z, 2021-08-19,03:05:37Z,-1, 2021-08-20,0
66084539,1839 in Germany,626,autoconfirmed,,10006,65,15,8,13685,523,0,0,11, 2021-08-19T03:05:23Z, 2021-08-19,03:05:23Z,-1, 2021-08-20,0
66103659,1838 in Germany,848,autoconfirmed,,11316,46,10,4,8385,324,0,0,14, 2021-08-19T03:04:34Z, 2021-08-19,03:04:34Z,-1, 2021-08-20,0
66122257,1837 in Germany,489,autoconfirmed,,5285,59,14,2,13197,567,0,0,4, 2021-08-19T00:28:45Z, 2021-08-19,00:28:45Z,-1, 2021-08-20,0
66130087,1836 in Germany,563,autoconfirmed,,5159,Fewer than 30 watchers,,0,3131,280,0,0,3, 2021-08-19T00:02:13Z, 2021-08-19,00:02:13Z,-1, 2021-08-20,0
34614,1939,595135,autoconfirmed,,82989,73,14,9,22607,3181,87,33,15, 2021-08-20T21:43:19Z, 2021-08-20,21:43:19Z,0, 2021-08-20,0
470348,1922 in Germany,39642,autoconfirmed,,13021,42,10,1,25247,738,0,0,5, 2021-08-20T12:29:58Z, 2021-08-20,12:29:58Z,0, 2021-08-20,0
1481808,1923 in Germany,59183,autoconfirmed,,11438,Fewer than 30 watchers,,3,18232,194,9,7,4, 2021-08-20T13:20:46Z, 2021-08-20,13:20:46Z,0, 2021-08-20,0
1485390,1925 in Germany,26860,autoconfirmed,,107940,427,49,23,83965,3828,15,4,25, 2021-08-20T14:04:31Z, 2021-08-20,14:04:31Z,0, 2021-08-20,0
23584199,1926 Copa del Rey,176830,autoconfirmed,,139159,147,30,24,34970,5551,24,13,62, 2021-08-20T14:52:01Z, 2021-08-20,14:52:01Z,0, 2021-08-20,0
28666996,1939 in Germany,81784,autoconfirmed,,6209,Fewer than 30 watchers,,0,34706,154,14,10,8, 2021-08-20T21:50:57Z, 2021-08-20,21:50:57Z,0, 2021-08-20,0
30552675,1907 in Germany,19740,autoconfirmed,,8346,Fewer than 30 watchers,,1,12549,57,14,13,5, 2021-08-20T03:08:05Z, 2021-08-20,03:08:05Z,0, 2021-08-20,0
30560103,1893 in Germany,15211,autoconfirmed,,190737,778,75,301,284947,10615,6,6,48, 2021-08-20T01:48:11Z, 2021-08-20,01:48:11Z,0, 2021-08-20,0
30813856,1933 in Germany,149150,autoconfirmed,,32499,122,19,21,39367,2430,8,4,17, 2021-08-20T17:35:02Z, 2021-08-20,17:35:02Z,0, 2021-08-20,0
30813950,1934 in Germany,60729,autoconfirmed,,20577,Fewer than 30 watchers,,1,22236,227,11,5,5, 2021-08-20T18:02:29Z, 2021-08-20,18:02:29Z,0, 2021-08-20,0
30814083,1937 in Germany,64796,autoconfirmed,,128651,160,22,14,6767,2350,7,4,24, 2021-08-20T18:42:09Z, 2021-08-20,18:42:09Z,0, 2021-08-20,0
30814181,1938 in Germany,97897,autoconfirmed,,6130,Fewer than 30 watchers,,3,1800,86,45,9,3, 2021-08-20T18:50:58Z, 2021-08-20,18:50:58Z,0, 2021-08-20,0
30818178,1941 in Germany,45069,autoconfirmed,,17742,44,8,3,47100,561,24,14,15, 2021-08-20T22:37:16Z, 2021-08-20,22:37:16Z,0, 2021-08-20,0
